"RegularSeason","Season","Date","HomeTeam","HomeTeamScore","AwayTeam","AwayTeamScore","HomeTeamWin","AwayTeamWin","NeutralTeamWin"
1,"1948","1948","WCP",106,"PHW",99,1,0,0
1,"1948","1948","PRO",70,"BOS",57,1,0,0
1,"1948","1948","CHS",99,"NYK",86,1,0,0
1,"1948","1948","BOS",84,"WCP",56,1,0,0
1,"1948","1948","SLB",69,"BAB",54,1,0,0
1,"1948","1948","WCP",75,"CHS",67,1,0,0
1,"1948","1948","PRO",78,"BAB",98,0,1,0
1,"1948","1948","SLB",55,"NYK",59,0,1,0
1,"1948","1948","PHW",72,"BAB",63,1,0,0
1,"1948","1948","BOS",75,"CHS",61,1,0,0
1,"1948","1948","BAB",77,"PHW",79,0,1,0
1,"1948","1948","WCP",78,"NYK",62,1,0,0
1,"1948","1948","SLB",70,"PRO",61,1,0,0
1,"1948","1948","CHS",72,"BOS",48,1,0,0
1,"1948","1948","NYK",57,"PHW",63,0,1,0
1,"1948","1948","PHW",82,"SLB",59,1,0,0
1,"1948","1948","WCP",81,"SLB",74,1,0,0
1,"1948","1948","BAB",68,"SLB",71,0,1,0
1,"1948","1948","PHW",54,"BOS",61,0,1,0
1,"1948","1948","CHS",50,"PRO",56,0,1,0
1,"1948","1948","BOS",58,"NYK",74,0,1,0
1,"1948","1948","WCP",69,"PRO",60,1,0,0
1,"1948","1948","NYK",58,"BAB",72,0,1,0
1,"1948","1948","SLB",72,"BOS",54,1,0,0
1,"1948","1948","CHS",78,"BAB",74,1,0,0
1,"1948","1948","BOS",68,"PHW",77,0,1,0
1,"1948","1948","PRO",61,"SLB",94,0,1,0
1,"1948","1948","NYK",75,"PRO",73,1,0,0
1,"1948","1948","SLB",62,"CHS",60,1,0,0
1,"1948","1948","PHW",60,"NYK",66,0,1,0
1,"1948","1948","BAB",95,"WCP",71,1,0,0
1,"1948","1948","BOS",69,"PRO",79,0,1,0
1,"1948","1948","NYK",66,"BOS",64,1,0,0
1,"1948","1948","PRO",62,"BAB",68,0,1,0
1,"1948","1948","SLB",60,"PHW",66,0,1,0
1,"1948","1948","WCP",54,"CHS",48,1,0,0
1,"1948","1948","CHS",78,"PHW",85,0,1,0
1,"1948","1948","PRO",62,"NYK",78,0,1,0
1,"1948","1948","WCP",77,"BAB",72,1,0,0
1,"1948","1948","NYK",108,"PRO",69,1,0,0
1,"1948","1948","BAB",100,"PRO",74,1,0,0
1,"1948","1948","SLB",71,"CHS",77,0,1,0
1,"1948","1948","PHW",60,"WCP",72,0,1,0
1,"1948","1948","BOS",57,"NYK",68,0,1,0
1,"1948","1948","PRO",64,"WCP",86,0,1,0
1,"1948","1948","SLB",67,"PHW",54,1,0,0
1,"1948","1948","CHS",80,"PHW",74,1,0,0
1,"1948","1948","NYK",80,"BOS",68,1,0,0
1,"1948","1948","WCP",79,"PRO",60,1,0,0
1,"1948","1948","CHS",78,"SLB",80,0,1,0
1,"1948","1948","NYK",86,"PRO",63,1,0,0
1,"1948","1948","BAB",96,"NYK",86,1,0,0
1,"1948","1948","SLB",74,"CHS",80,0,1,0
1,"1948","1948","PHW",69,"BOS",60,1,0,0
1,"1948","1948","BOS",79,"PRO",73,1,0,0
1,"1948","1948","WCP",72,"BOS",58,1,0,0
